name,mean_member_acc,ens_acc,ens_nll,ens_ece,median_spread,train_s
mlp,0.9702999999999999,0.9775,0.0786760225892067,0.014894947656989049,0.002557752886787057,141.14030289649963
cnn,0.98669,0.9904,0.030970947816967964,0.0070731936395168615,0.00039594765985384583,146.75199818611145
